,id,date,dateYear,dateMonth,dateDay,rating,userName,content
15,16,20230105,2023,01,05,5,JY Kang,"아이 용돈카드로 잘 사용중입니다. 다만, 첫 화면에서 바로 아이 카드 사용현황을 볼수있는 링크가 있으면 더 좋을것 같습니다. 지금은 내 지갑>아이지갑으로 들어가야하는 번거로움이 있네요. 첫 화면을 내 마음대로 구성할수 있는 기능이 있으면 더 좋고요. 수고하세요~"
16,17,20221205,2022,12,05,5,Yejun Lee,"돈을 퀴즈로 통해 벌수있는 시스템이 좋긴한데, 어느정도 레벨이 되면 하루가 지나야 퀴즈가 생기니 ZU만 계속쌓여요ㅠ 그것만 좀 고쳐주시면 괜찮을것같고 나머지는 다 좋습니다."
17,18,20221215,2022,12,15,5,최현서,"안녕하세요 아이부자를 사용하고 있는 사람입니다. 일단 자기 이름으로 카드를 만들수 있어 너무 좋고 카드 디자인도 예뻐서 마음에 들고 용돈 조르기,오늘의 기분,다양한 퀴즈 같은걸 이용할 수 있어 너무 좋고 그때 마다 작지만 몇원씩 줘서 좋은거 같습니다.근데 카드 종류가 너무 적은거 같아요ㅜ 전 남잔데 카드 디자인에 만약 제가 여자라면 여자 캐릭터가 없어 아쉬울거 같고 디자인도 더 많이 추가해 주셨으면 좋겠습니다.하지만 제이름으로 카드를 만들어서 너무 기분이 좋았습니다.그리고 미션을 해서 돈을 받는것도 너무 재밌고 좋았습니다!여러분도 강추 하니까 카드를 만드실 분은 이앱을 이용해 보시는 것도 좋을거 같아요 전 그럼 20000👍"
18,19,20221217,2022,12,17,4,몬지맘,그동안 잘써왔는데 아이 폰에서 받은미션과 잔액 확인하려니까 처음 사용하는 폰이라고 나와요..초기화가된건가요? 일시적인 오류인가요? 좀 알려주세요 뭐때문에 그런건지 잘쓰다가 안되니 답답해요.. 좀 알려주세요
19,20,20220822,2022,08,22,1,수리아,아이 계좌를 만들어서 사용할 수 있어 편리하긴 한데 여러 가지 불편 점이 너무 많아요 우선 고객센터 전화 연결이 너무 힘들어요 아예 전화 연결이 안 되면 채팅 상담 창이 있었으면 좋겠어요 그리고 아이가 미션을 수행하고 결과를 확인 후 자동용동 주기 기능이 있었으면 좋겠어요
20,21,20221224,2022,12,24,4,Chan22 J,"아이부자 오늘의 기분 선택지가 너무 한정적인것 같습니다.현재는 평온해요,신나요,설레요,별로에요,슬퍼요가 있는데 화나요 등 다른 감정들도 있었으면 좋겠습니다.물론 그거 외에는 잘 사용하고 있습니다!!"
21,22,20230108,2023,01,08,5,냔이 냠냠,카드 발급 받아서 잘 쓰고있네요! 디자인도 이쁘고 일주일 내로 카드 받을수있어 좋은것같아요! 용돈 모으는 습관을 들일수있어 좋아요😄 추천합니다!~
22,23,20221224,2022,12,24,3,ZHI YIN PIAO,솔직히 다 좋을 거 같은데 제가 국적이 다른 나라여서 주민등록 번호를 했는데 외국인은 아직이라는 거에요 그래서 외국인도 할 수 있게 조금 빨리 해주시면 좋겠네요
23,24,20221217,2022,12,17,3,심현우,카드 사용은 좋은데 소행성 제가 쥬가 6개 있었는데 최애가 정답인데 제가 최애를 눌렀는데 오답이라 하고 쥬6개 다 날렸어요 업데이트 요청 부탁드립니다 중복 정답 요청
24,25,20230110,2023,01,10,3,장시후,왜 카드 발급을 하려는데 문자가 오지 않죠? 똑바로 입력하고 몇번을 다시해봤는데 그대로네요
25,26,20221202,2022,12,02,3,이지아,퀴즈풀다가 알림에 중복됀 거래요청이 검색되었습니다 때문에 다른건다만족하지만 알림때문에3점이고 알림때문에 잼이 사라져서 많이불편합니다
26,27,20221029,2022,10,29,5,토끼빈이,만족하며 잘사용하고 있습니다 .근데 부모앱에서 자녀 잔액을 확인가능하면 더 좋을거 같습니다. 확인불가하여 불편한점이 좀 있네요
27,28,20221106,2022,11,06,3,세미,잘 사용하다가 카드발급하니까 내역보는게 클릭해도 안보이네요.. 고쳐주셨으면 좋겠어요..
28,29,20221208,2022,12,08,4,김예나,아이부자 최고 진짜 알바하면서 돈도 벌고 또 정기 용돈도 있어서 일주일마다 자동으로 돈이 들어와요 물론 저희 엄마가 정기 용돈 설정하신 거라 나오는 거긴 한데 아무튼 진짜 제가 쓰는 카드 앱 중에서 이게 제일 최고였던 것 같아요 제 이름으로 카드 만들 수도 있고 또한 바코드로도 결제가 가능해서 너무 좋아요 다들 이거 꼭 한 번씩 써보시길 바랄게요 하지만 10분 이상 그 앱을 안 들어가면 비밀번호를 쳐서 들어가야 한다는 점이 아쉽네요 그래도 정말 좋습니다! 아이부자 앱 만들어 주신 분 칭찬해요! 😊😊
29,30,20221113,2022,11,13,5,김방숙,제가 용돈이 만원인데 넉넉하다고 생각은 했거든요 이 앱을 위즈키즈라는 잡지에서 보고 바로 깔았습니다 너무 유용하고요 이벤트들이 많아서 너무좋아여♡♡^^👌
30,31,20221210,2022,12,10,5,bora다빈,나만의 돈부자게임?? 맞넹..ㅎ 이건 그냥 돈관리나 돈버는미션게임같아요 돈부족하거나 관리잘하는게 문제인데... 매일 쓸때마다 5000원 넘어갈것같아요... 제발 돈만 쓰지말고 아껴쓰자...(마음쏙)
31,32,20221212,2022,12,12,5,따따쭈예체능TV,"카드 완전 예쁘고여, 퀴즈도 재미있어용! 카드를 발급해줘서 좋고, 이제 14세 미만도 다른 은행이랑 연결할수 있어서 좋아요!"
32,33,20221102,2022,11,02,5,성준현,편리하고 우겁게 동전이나 현금 들고다닐 필요가 없어서 좋았어요 근데 저는 하루에 내가 쓸수있는 돈을 내가 정하는 기능이 있었으면 좋을것 같아요 돈이 안보이니까 자꾸만 사게 되요 ㅜㅜ
33,34,20220821,2022,08,21,5,JiWoo Kim,다 좋은데 모으기 최소 금액을 더 낮게해주시면 좋겠어요 ㅠㅠ 최소 2000원 정도까지만 해도 충분할 것 같은데.. 가족 미션을 하지 않는 유저라서 이 점이 너무 불편해요 ㅜㅜ 이외에는 정말 편한 기능이 많아요!!
34,35,20221130,2022,11,30,5,팡팬더,"아이가 용돈 쓸 때 카드를 이용할 수 있어 좋아합니다.용돈 모으는 재미도 느끼더라구요.미션을 열심히 한답니다. 다만,아이의 용돈잔액이나 아이가 용돈을 쓴 내역을 부모아이부자앱으로 볼 수 있으면 좋을 것같아요.매번 아이 핸드폰으로 들어가서 봐야해서 불편해요."
35,36,20220822,2022,08,22,5,샌즈 찬양집단,수수료 없는게 좋고 제로페이도 너무 좋아요 하나은행 앱과 연동해서 쓸 수 있는 게 너무 좋은 것 같아요!! 가독성도 너무 좋네요!^^ 근데 모으기기능에 이자도 있으면 좋겠어요
36,37,20220817,2022,08,17,2,Logan back,설치하고 열기를 하면 업데이트하라고 나오고 다시 앱스토어 들어가서 업데이트가 안나오고 열기만 보여서 열기 누르면 다시 업데이트하라고 나오는 무한 반복입니다. 뭔가 오류 같은데 해결 바랍니다
37,38,20230102,2023,01,02,4,새싹,음.. 다 좋은데 자기 통장 처럼 돈을 저축해뒀다가 쓰고 싶을때 뺐다가 할 수 있으면 좋겠어요
38,39,20220918,2022,09,18,1,rora Au,Z플립3 사용중인데요. 8월10일 업데이트 이후에 앱화면에 아무것도 안떠서 삭제후 다시 다운 받아도 마찬가지라 회원탈퇴 후 다운 받으니 화면은 뜨는데 아이추가가 안돼요. 몇번을 해도 마찬가지입니다.
39,40,20221001,2022,10,01,4,범상어,주식을 할수있는건 아주좋은데 원래 밑에있는 돋보기 모양 버튼을 누르면 종류별 추천주식이 떠야하는데 안뜨네요..
